post_content,comentario
GOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL é o FRAMENGOOOOOOOOOOOOOOOOOOOOOOO,Pra quem fez faculdade em escrever Framengo é sacanagem
GOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL é o FRAMENGOOOOOOOOOOOOOOOOOOOOOOO,Quem fez o gol?
Estilo neurótico,bandido de terno? ja vi aos montes menó
Estilo neurótico,Estão lindos sssiiimmmm.O resto é só inveja do povo  mesmo!
Estilo neurótico,essa mulher é bizarra de linda
Estilo neurótico,eu amo que ela é pura eleganciaaaaaa
Estilo neurótico,a mulher mais gata do brasil é a fefeu
Estilo neurótico,"Inimiga da CLT... 

Inacreditável o q umas mulheres se submetem p não ter q trabalhar, tudo por uma vida de luxo, mesmo q tenha q dar p um viciado desse e ainda fingir."
Estilo neurótico,"Olhem essa mulher, olhe esse crápula"
Estilo neurótico,cade o papai?
,Como você pode ser tão feio ?? Que ódio
,.
,"Sim, oportunidade rara de valor real. Seu impacto brilha no Kaito eco agora."
,"Jair , venceu mais uma , novamente"
,Ela vai estar esperando você e o marginal do seu pai no colo do CAPETA
Brabo,"No caso aqui é o Oruam ou Mauro me elogiando? Kkkkkkkkk valeu cria, fumar 70 de ice com flor na estrela da Penha qualquer dia"
Brabo,to sem mistura em casa mas o chip do macaco segue travado
Brabo,"fortalece os 100 do ice aí Mauro… já vendi tudo q tinha aqui em casa, tá foda"
Brabo,faz o pix da intera do ice ae maurin
Brabo,"Como se fosse fácil pro mlk da favela viver fumando ice né kkk bag eh caro, eu gasto uns mil por semana"
É o Flamengo porra é o coringa,Tmnc Oruam vc é torcedor modinha antes de ficar famoso nem ligava uma televisão pra ver futebol  quer mamar o Gerson agora
É o Flamengo porra é o coringa,"Não fode cara, não fode"
É o Flamengo porra é o coringa,Sai da Hello kitty
É o Flamengo porra é o coringa,An do oruam
É o Flamengo porra é o coringa,Aindaaaaa
É o Flamengo porra é o coringa,Cuzão
Tá nervoso arrombado filha da puta,Calma Mauro kkkkk toma jack kkkkk
Tá nervoso arrombado filha da puta,GOOOOOOLL
Tá nervoso arrombado filha da puta,Calma  mocinho
Tá nervoso arrombado filha da puta,kkkkkkkkkkkkkkkkkkkk
Tá nervoso arrombado filha da puta,An an an kkkkkkkk
Tá nervoso arrombado filha da puta,4x1 Pro Bayer meu padrinho
Tá nervoso arrombado filha da puta,7x1 certeza
Tá nervoso arrombado filha da puta,"Bandido chorando, eu feliz"
Tá nervoso arrombado filha da puta,Desculpa Mauro
Tá nervoso arrombado filha da puta,kkkkkkkkkk chora não arrombado
essa mulher é bizarra de linda,"Quem não pode erra é você Oruam, casal topp da porra!!"
essa mulher é bizarra de linda,"Olhem essa mulher, olhe esse crápula"
essa mulher é bizarra de linda,Esse macaquinho é filho de quem ?
essa mulher é bizarra de linda,Estilo neurótico
essa mulher é bizarra de linda,bandido de terno? ja vi aos montes menó
essa mulher é bizarra de linda,"Inimiga da CLT... 

Inacreditável o q umas mulheres se submetem p não ter q trabalhar, tudo por uma vida de luxo, mesmo q tenha q dar p um viciado desse e ainda fingir."
essa mulher é bizarra de linda,eu amo que ela é pura eleganciaaaaaa
essa mulher é bizarra de linda,Jigolô por acidente
essa mulher é bizarra de linda,cade o papai?
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Estragou meu dia com essa informação
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.","Não é cada um com seus BO?

Faz parecer que quer geral pulando na bala dele"
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.","Ainda, se ele moscar na minha frente eu vou encher ele de furo"
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",ELE ESTÁ NO DESERTO. VAI VOLTAR MAIS FORTE.
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Devia é matar essa praga
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Mientras no cante mas que este dónde sea
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Bandidos bom é bandidos m..........????????
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Que continue preso por muito tempo
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.","Hoje faz um mês que está preso, cadê os amigos de copo, os trem do ódio, os amigos de sampa? Abandonou geral, amigos sua família mãe, pa,i irmãos,  Esposa que resto do resto."
"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.","@grok
 qual a chance do Oruam ser condenado e continuar preso ?"
